player_name
Sabalenka A.
Branstine C.
Sun L.
Bouzkova M.
Raducanu E.
Xu M.
Vondrousova M.
Kessler M.
Mertens E.
Fruhvirtova L.
Li A.
Golubic V.
Gracheva V.
Sasnovich A.
Bondar A.
Svitolina E.
Badosa P.
Boulter K.
Minnen G.
Gadecki O.
Todoni A.
Bucsa C.
Birrell K.
Vekic D.
Fernandez L.
Klugman H.
Stearns P.
Siegemund L.
Danilovic O.
Zhang S.
Ruse E.G.
Keys M.
Paolini J.
Sevastova A.
Rakhimova K.
Ito A.
Lys E.
Yuan Y.
Pera B.
Noskova L.
Haddad Maia B.
Sramkova R.
Dart H.
Galfi D.
Wickmayer Y.
Zarazua R.
Putintseva Y.
Anisimova A.
Shnaider D.
Uchijima M.
Parry D.
Martic P.
Tomova V.
Jabeur O.
Kartal S.
Ostapenko J.
Krueger A.
Stojsavljevic M.
Pavlyuchenkova A.
Tomljanovic A.
Osaka N.
Gibson T.
Siniakova K.
Zheng Q.
Andreeva M.
Sherif M.
Teichmann J.
Bronzetti L.
Baptiste H.
Cirstea S.
Potapova A.
Frech M.
Krejcikova B.
Eala A.
Dolehide C.
Rus A.
Kudermetova V.
Zhu L.
Kvitova P.
Navarro E.
Muchova K.
Wang X.
Sonmez Z.
Cristian J.
Lamens S.
Jovic I.
Hon P.
Alexandrova E.
Linette M.
Jacquemot E.
Parks A.
Bencic B.
Volynets K.
Maria T.
Cocciaretto E.
Pegula J.
Swiatek I.
Kudermetova P.
McNally C.
Burrage J.
Osorio Serrano M.C.
Collins D.
Erjavec V.
Kostyuk M.
Tauson C.
Watson H.
Kalinskaya A.
Stojanovic N.
Sakkari M.
Blinkova A.
Avanesyan E.
Rybakina E.
Kasatkina D.
Arango E.
Begu I.
Juvan K.
Starodubtseva Y.
Jones F.
Joint M.
Samsonova L.
Kenin S.
Townsend T.
Bouzas Maneiro J.
Seidel E.
Azarenka V.
Zakharova A.
Yastremska D.
Gauff C.
